variable	Hazard_Ratio
JUP	0.92
KANK4	0.93
KBTBD13	1.1
KBTBD8	0.92
KCNA2	0.93
KCNE1B	0.93
KCNF1	1.09
KCNH2	1.08
KCNJ10	1.08
KCNK7	0.93
KCTD9	0.93
KDM4B	0.92
KDM4E	1.1
KDM6B	0.92
KHDC4	1.07
KIAA0753	1.08
KIAA1549L	0.92
KIAA2012	0.92
KIDINS220	1.09
KIF12	1.07
KIF13A	1.08
KIF23	1.08
KIF3B	1.07
KLHDC2	0.92
KLHDC8B	1.07
KLHDC9	1.09
KLHL11	1.09
KLHL41	1.08
KLK5	1.08
KLKB1	0.92
KMT2D	0.93
KMT5B	1.08
KPNB1	1.07
KRT6B	0.92
KRT6C	1.08
KRT74	0.9
KRTCAP3	0.94
KSR1	0.92
KTI12	0.93
L3HYPDH	1.08
L3MBTL1	1.08
LDB3	1.08
LGR4	1.08
LHPP	0.93
LHX2	1.08
LIG1	0.93
LIMK2	0.92
LIPT2	1.07
LMAN1L	1.07
LMCD1	1.08
LMNB1	0.92
LNX2	1.07
LOXHD1	0.94
LPCAT2	1.07
LPIN1	0.92
LPO	1.07
LRFN3	1.07
LRGUK	0.92
LRP2	1.08
LRP5	1.08
LRRC15	0.92
LRRC17	1.08
LRRC25	0.93
LRRC31	0.91
LRRC3B	0.93
LRRC40	1.07
LRRC4C	0.92
LRRC56	1.08
LRRN4	1.08
LSM10	1.09
LUZP4	1.09
LY86	1.08
LYG1	1.09
LYPD6B	1.07
LYVE1	0.92
MAB21L2	1.09
MACO1	0.92
MACROH2A1	1.07
MAEL	0.93
MAGEC3	1.07
MAMDC2	1.08
MAN1A2	0.92
MAP1LC3B2	1.07
MAP2K5	0.94
MAP3K20	1.08
MAP3K7CL	0.93
MAPK3	1.08
MAPK4	1.09
MAPKAP1	0.93
MAT1A	1.09
MAU2	0.93
MB21D2	0.93
MBL2	1.08
MBOAT4	1.07
MBTPS2	1.07
MC5R	0.93
MCM3AP	1.08
MCM4	1.07
MED8	1.08
MEF2B	0.94
MEIOB	1.07
METTL16	1.07
MFNG	0.93
MGAT4C	0.92
MGMT	1.07
MGRN1	0.93
MICALL2	0.92
MID1IP1	1.09
MIGA2	0.92
MIIP	0.93
MIOX	1.07
MIPEP	1.08
MISP	0.93
MLKL	0.92
MMP14	1.07
MMP21	0.92
MMP24OS	1.07
MNAT1	1.07
MOCOS	0.92
MPHOSPH6	1.07
MPND	0.92
MPO	1.08
MPPED1	1.08
MPV17	1.08
MPV17L	0.93
MPZL3	0.92
MRE11	0.94
MROH2A	0.93
MRPL23	1.09
MRPL28	1.09
MRPS16	1.08
MT.ATP6	1.08
MT.ND1	1.09
MTAP	1.08
MTCP1	1.07
MTFP1	1.08
MTIF2	1.08
MTMR1	0.93
MTNR1A	1.1
MTPAP	0.94
MUC4	0.94
MUCL3	0.94
MYLIP	1.08
MYLPF	0.94
MYO19	1.08
MYORG	1.07
N4BP2	1.08
NAA11	1.08
NAA15	1.09
NAA25	1.07
NAA35	0.93
NAA60	0.93
NAALADL2	0.93
NAF1	0.94
NAP1L3	1.08
NAT10	0.93
NAXE	1.09
NBEA	0.93
NCAPG	1.08
NCL	0.93
NCOA2	1.08
NCSTN	1.07
NDST4	1.1
NDUFA6	1.08
NDUFC2.KCTD14	0.93
NECAB1	1.07
NEFH	0.92
NEK2	1.07
NELFA	1.07
NELFB	0.93
NEURL1	0.93
NEUROG3	0.92
NFATC2IP	0.93
NFIC	0.93
NFKBIB	1.07
NIBAN1	0.92
NIM1K	0.93
NIN	0.94
NINL	1.07
NISCH	1.09
NLGN3	1.08
NLGN4X	0.94
NMBR	0.93
NMT1	1.08
NMT2	0.93
NNT	1.08
NODAL	1.09
NOP53	0.92
NOVA2	0.92
NPEPL1	1.08
NPHP3.ACAD11	0.93
NPIPB6	0.93
NR1D1	0.92
NR1H4	1.08
NR2E1	1.07
NR5A1	1.09
NRAS	1.08
NRF1	1.07
NRP2	0.93
NRSN1	1.08
NRXN2	1.07
NSD1	0.94
NSMCE4A	0.93
NTM	1.08
NTNG1	1.07
NUBPL	1.08
NUDT12	1.08
NUDT13	1.07
NUDT7	0.94
NUP153	1.09
NVL	0.92
NXF1	0.93
NXF5	0.92
NXPE1	1.1
ODF3L2	0.94
OFD1	0.94
OGN	0.93
OGT	0.92
ONECUT1	0.94
OPRL1	1.08
OPRM1	0.88
OR10A2	1.12
OR10V1	1.1
OR10W1	1.15
OR2C1	0.94
OR2L3	1.09
OR3A2	0.92
OR4F15	0.92
OR4F4	0.9
OR51B2	0.92
OR52K2	0.92
OR52N2	0.91
OR5M11	0.85
OR6C70	1.11
OR8A1	0.92
OR8D4	1.16
OR8G1	1.08
OR9K2	1.2
OR9Q1	1.11
ORMDL3	1.08
OSCAR	0.93
OSTF1	0.93
OTUD7B	1.07
OVOL3	1.09
P4HA3	0.93
PA2G4	1.08
PABPC4	0.92
PADI6	0.92
PAGE1	1.09
PALB2	0.92
PAPLN	1.07
PAPOLA	1.07
PATJ	0.92
PBX1	1.08
PCARE	1.09
PCBP3	0.93
PCDH15	1.07
PCDHA5	1.07
PCDHB11	1.09
PCDHGA8	0.93
PCDHGC5	1.08
PCIF1	1.08
PCP4L1	1.09
PDCL3	1.07
PDE6G	0.92
PDE8A	0.93
PDIA5	0.94
PDK3	1.07
PDK4	1.08
PDLIM5	1.09
PDX1	1.11
PDZRN3	0.92
PEX5	1.08
PFKL	1.07
PGBD4	1.08
PGC	1.08
PGK1	1.08
PGM1	1.08
PGS1	1.07
PHF3	0.93
PHKG1	0.93
PHLPP1	1.08
PIAS4	1.07
PIDD1	1.07
PLA2G4D	1.08
PLA2G5	0.93
PLD2	0.93
PLD6	1.08
PLEKHA4	1.08
PLPP6	1.08
PLXNA3	1.09
PMF1	1.09
POLR1A	1.09
POLR1D	1.08
POLR2E	1.07
POLRMT	1.08
POMP	1.09
PPA2	1.08
PPAN.P2RY11	1.07
PPARD	0.92
PPBP	1.07
PPIA	1.07
PPIAL4G	0.92
PPIB	1.07
PPIE	0.94
PPIL6	0.92
PPP1R13L	0.93
PPP1R2	0.92
PPP1R36	0.93
PPP1R7	1.08
PPP2R5D	0.93
PPP4R1	0.93
PPP4R3A	0.92
PPP6C	1.08
PRAP1	1.1
PRDM16	0.94
PRH1	0.93
PRIM2	0.93
PRKAA1	1.09
PRKD3	1.08
PRKG2	1.07
PROB1	1.07
PROCA1	1.08
PROK1	0.91
PROM2	1.08
PROSER3	1.07
PRPF40A	0.93
PRPH2	0.94
PRPS2	1.08
PRRT2	1.07
PRSS41	0.92
PRSS51	1.11
PSMC4	1.08
PSPC1	0.92
PTGER1	0.93
PTGES3L	1.08
PTGR2	0.93
PTPRD	0.93
PTPRU	1.08
PTRHD1	1.07
PUDP	1.08
PYDC2	0.92
R3HCC1	0.92
R3HDM2	0.93
RAB11B	1.08
RAB25	1.08
RAB27A	1.07
RAB3IP	1.07
RAB40A	0.93
RAB4B.EGLN2	0.93
RALGPS2	1.08
RANBP2	0.92
RAP2B	1.07
RBBP7	1.07
RBCK1	1.07
RBFOX3	0.92
RBL1	0.94
RBM38	1.07
RCAN2	1.09
RDH10	0.93
RECQL5	1.08
REEP1	0.93
RELL2	1.08
REST	0.93
RETREG1	1.08
RGS10	1.09
RHOBTB2	1.09
RHOD	1.08
RHOXF2B	1.09
RNASE10	1.08
RNASEH1	1.09
RND1	0.93
RNF122	1.07
RNF138	1.09
RNF148	0.93
RNF166	1.09
RNFT2	1.08
ROBO4	0.93
RPEL1	0.94
RPL19	1.07
RPL9	1.08
RPP30	1.09
RPS17	1.07
RPS24	1.08
RPS6KA6	0.92
RRAGA	0.94
RRAGB	1.07
RRP7A	1.08
RTKN2	1.08
RTN4	1.08
RTN4RL1	0.93
RTN4RL2	1.08
RWDD1	0.93
RWDD3	1.09
RYR3	0.93
SAA4	1.09
SARNP	1.07
SAXO2	1.07
SBK1	0.93
SCAF4	0.93
SCAI	0.93
SCARB1	0.94
SCLY	1.07
SCN1B	0.93
SCN5A	0.94
SCO1	0.93
SCRN1	1.08
SEC11C	1.08
SEC31A	1.09
SEMA6C	1.07
SEPTIN10	1.08
SERBP1	1.09
SERF2	1.07
SERINC2	1.07
SERPINB6	0.93
SERPINE1	0.93
SERPINE3	0.93
SEZ6	1.08
SF3B3	1.07
SF3B5	1.09
SFRP5	0.93
SGMS1	0.93
SGMS2	0.93
SGO1	0.93
SH2B3	1.07
SH3PXD2B	1.08
SH3RF3	0.94
SHANK2	0.93
SHCBP1L	0.91
SHH	1.08
SHISA6	1.08
SIGLEC11	0.92
SIK1B	1.08
SKIL	0.93
SLC10A3	0.92
SLC13A1	1.17
SLC15A5	1.15
SLC16A10	0.93
SLC16A5	0.93
SLC16A9	0.94
SLC17A3	1.08
SLC17A8	1.07
SLC24A1	0.93
SLC25A2	0.93
SLC25A29	1.07
SLC25A4	1.08
SLC25A48	0.94
SLC25A53	0.94
SLC26A6	0.93
SLC26A8	0.93
SLC2A6	0.92
SLC30A1	0.92
SLC33A1	1.08
SLC39A13	0.92
SLC39A14	1.07
SLC39A6	1.08
SLC3A1	0.93
SLC43A3	0.93
SLC47A1	1.08
SLC4A1	0.93
SLC4A11	0.93
SLC4A2	1.08
SLC6A8	0.92
SLC9A5	1.08
SMAD6	0.93
SMCO2	0.93
SMG6	1.07
SMIM3	1.08
SMIM35	0.91
SMN1	1.08
SNAP29	1.08
SNRPB	1.07
SNTG1	1.07
SNX2	0.92
SNX33	1.07
SNX5	1.08
SOCS3	1.09
SOD3	1.07
SOWAHB	0.92
SOWAHD	0.92
SPAG16	1.08
SPAG4	1.08
SPAG8	1.09
SPARCL1	0.92
SPATA24	1.07
SPATA31A5	1.07
SPDEF	0.92
SPEF2	1.07
SPINK1	0.94
SPTBN1	0.93
SRCAP	0.92
SRRM2	0.93
SRSF2	1.08
SS18L2	1.08
SSBP3	0.93
SST	1.11
ST8SIA1	0.93
STAC2	1.07
STAM	1.07
STAM2	1.07
STH	0.93
STIMATE	1.07
STIP1	0.92
STK17A	1.07
STOM	1.08
STON1.GTF2A1L	0.92
SULT1E1	0.91
SUSD6	1.07
SWAP70	1.07
SYN1	0.93
SYNDIG1L	0.94
SYNJ1	1.07
SYNJ2BP.COX16	1.07
SYNM	1.09
SYNPO2L	1.08
SYT2	1.08
TAAR9	1.09
TAC3	0.93
TAGLN	0.92
TAL2	1.08
TALDO1	0.93
TAS2R14	0.93
TAS2R31	0.93
TAS2R38	1.11
TAS2R50	0.93
TATDN2	0.93
TATDN3	1.08
TBC1D23	1.08
TBC1D32	0.93
TBCEL	1.07
TCEAL3	0.92
TCEANC	1.07
TCP10L	0.93
TDRD3	1.08
TDRD6	1.07
TEX12	0.93
TEX264	0.94
TFB1M	0.93
TFCP2	1.07
TFPI	1.08
TGFBI	1.07
THAP7	1.07
THOC6	1.08
THOP1	1.08
THYN1	1.07
TIMM21	1.07
TIMM29	1.09
TIMM44	0.93
TJP1	0.93
TLX3	1.08
TMC7	1.08
TMEM119	0.93
TMEM171	0.92
TMEM214	0.93
TMEM221	1.07
TMEM252	0.91
TMEM262	0.93
TMEM35A	1.07
TMEM80	0.93
TMEM86A	0.92
TMEM95	0.88
TMPO	1.07
TNFAIP1	1.08
TNFRSF14	0.93
TNFSF13B	0.92
TNFSF18	1.07
TNKS	1.08
TNNI3K	0.92
TNRC18	0.92
TOE1	1.07
TOPAZ1	1.12
TP53I11	1.08
TPSG1	0.93
TRABD	1.08
TRAF3IP1	1.07
TRAP1	1.07
TRAPPC5	1.08
TRAPPC6A	1.08
TRIM23	1.07
TRIM25	0.92
TRIM36	0.93
TRIM37	0.92
TRIM58	1.08
TRIM59	1.09
TRIM8	0.93
TSC1	0.93
TSPY10	0.9
TTC29	1.1
TTLL3	1.08
TTLL5	0.93
TUBA1B	1.07
TUBA3D	1.08
TUBA4B	1.1
TUBA8	1.07
TUBB1	0.93
TUBD1	1.08
TUBGCP6	0.92
TUG1	1.08
TYW1	0.92
UBA1	0.93
UBA52	1.08
UBAP1L	1.07
UBAP2L	0.94
UBE3A	0.92
UBP1	1.07
UBR1	0.94
UBR5	1.07
UBXN10	1.08
UGT2A3	1.11
UHMK1	1.07
UNC79	1.08
UNG	1.07
UPP1	1.07
USB1	0.93
USP18	0.93
USP2	1.07
USP33	1.08
USP38	1.08
UTP18	1.07
VASN	0.93
VAT1L	1.09
VGLL3	0.93
VMAC	1.07
VPS35	0.93
VPS54	0.93
VSNL1	1.08
VSTM2L	1.09
VSX2	1.11
WBP11	0.94
WDPCP	0.93
WDR43	1.07
WFDC10B	0.92
WFDC13	0.87
WNT1	0.92
WNT8A	1.11
WWP1	1.07
XK	1.08
XPR1	1.08
XYLB	1.09
YARS1	0.92
YARS2	1.07
YKT6	1.08
YY1AP1	0.92
ZACN	0.93
ZAR1L	1.08
ZBED1	1.07
ZBTB1	1.07
ZBTB38	0.93
ZBTB43	1.08
ZC3H11A	0.93
ZCCHC17	1.08
ZDBF2	1.09
ZDHHC11	0.92
ZDHHC11B	1.09
ZFAT	0.94
ZFP69	1.07
ZFR2	0.93
ZFYVE19	0.93
ZMIZ1	1.08
ZNF106	1.08
ZNF124	0.93
ZNF135	0.93
ZNF155	0.93
ZNF18	1.08
ZNF182	0.93
ZNF184	1.09
ZNF226	1.07
ZNF235	0.94
ZNF28	0.92
ZNF30	1.08
ZNF316	1.07
ZNF326	0.92
ZNF358	1.07
ZNF383	0.93
ZNF408	0.92
ZNF418	1.08
ZNF48	0.94
ZNF501	1.08
ZNF513	1.09
ZNF527	1.07
ZNF571	1.07
ZNF574	1.07
ZNF578	0.94
ZNF624	0.92
ZNF630	1.07
ZNF638	1.07
ZNF641	0.93
ZNF646	0.94
ZNF665	0.93
ZNF709	1.08
ZNF717	1.08
ZNF747	1.08
ZNF765	0.93
ZNF8	1.09
ZNF81	1.08
ZNF823	1.07
ZNF845	0.93
ZNF860	1.07
ZNF888	0.93
ZP4	1.09
ZSCAN10	0.9
ZSWIM4	0.94
ZSWIM5	0.93
ZSWIM6	0.93
A1CF	1.07
AANAT	1.07
ABCA12	0.95
ABCB10	0.94
ABCC10	1.05
ABCC5	1.06
ABCG8	1.05
ABHD8	0.94
ABT1	1.05
AC004080.3	0.94
AC004997.1	1.05
AC005020.2	1.06
AC006059.2	1.06
AC008764.1	1.07
AC010422.6	1.07
AC011530.1	1.06
AC013489.1	0.95
AC023491.2	1.08
AC025283.2	1.05
AC026786.1	0.93
AC053503.6	0.9
AC069288.1	0.94
AC073283.3	0.93
AC084756.2	0.93
AC087289.3	1.06
AC087632.2	1.06
AC091057.6	1.05
AC092329.3	1.06
AC112229.3	0.95
AC112504.2	0.93
AC118553.2	1.06
AC120114.4	1.05
AC124312.1	0.95
AC129492.3	0.94
AC136612.1	1.06
AC139491.7	1.08
AC139530.2	0.95
AC145212.1	1.06
AC235565.2	1.09
ACAP2	0.95
ACBD6	1.05
ACP1	1.05
ACSL4	0.94
ACTN1	0.94
ACTR5	1.06
ACVR2B	1.06
ADAM11	1.06
ADAM15	0.94
ADAM30	0.93
ADAMTS16	1.05
ADCY10	0.94
ADCY8	1.06
ADPRHL1	1.05
ADRA1D	1.06
AF196969.1	0.95
AFG1L	0.95
AGFG2	0.95
AGK	1.05
AGO3	0.94
AGPAT4	0.95
AGR2	0.94
AGXT	1.06
AHSA1	1.05
AIPL1	1.09
AJM1	0.94
AK8	1.06
AL031315.1	1.05
AL049697.1	0.94
AL121900.1	0.94
AL136295.5	1.05
AL139300.1	0.95
AL357673.1	0.95
AL359922.1	0.95
AL365214.2	0.92
AL513165.2	1.05
AL603832.3	1.05
AL807752.7	0.91
ALCAM	0.95
ALDH1L2	1.06
ALG12	1.06
ALG1L	1.06
ALOX12	1.05
ALOX5AP	0.94
ALX3	1.05
AMIGO1	0.95
AMTN	0.91
ANAPC10	1.05
ANGPT2	1.06
ANGPTL8	0.95
ANKDD1A	0.96
ANKH	1.05
ANKRD1	0.95
ANKRD13B	1.06
ANKRD30BL	0.94
ANKRD40CL	0.86
ANO4	1.06
ANTXR2	1.07
ANXA8	0.94
AP001458.2	0.95
AP1M2	0.95
AP1S3	1.05
AP3B1	0.95
APEX1	1.05
API5	1.05
APOC1	1.05
APOC2	1.06
APOD	1.06
ARCN1	1.06
ARFIP2	1.06
ARHGAP24	0.95
ARHGAP32	1.05
ARHGDIB	0.95
ARHGEF37	1.06
ARHGEF4	0.95
ARL13B	1.05
ARL14	0.95
ARMC5	1.05
ARPC3	0.95
ARSF	0.94
ASAH1	1.05
ASCC3	0.95
ASCL1	0.95
ASH1L	0.96
ASIC2	1.06
ASNS	1.05
ASPRV1	0.94
ATAD3C	0.96
ATG5	0.95
ATP10D	1.05
ATP2B1	1.06
ATP4A	1.06
ATP5F1A	1.05
ATP5IF1	1.05
ATP5MF.PTCD1	0.94
ATP6V0D2	0.94
ATP6V0E2	1.05
ATP6V1FNB	1.06
ATRN	0.95
ATXN7L3B	0.94
AUTS2	0.94
AVPI1	1.05
AVPR1B	1.07
AXDND1	0.94
BAG5	0.95
BAZ2B	0.94
BCL9L	0.94
BDH1	1.06
BEND6	1.05
BEND7	1.05
BICRA	0.94
BMP7	1.06
BNC1	0.94
BNIP3	1.05
BPGM	1.06
BPIFB2	1.07
BRCC3	1.06
BRD2	1.06
BRD3	0.94
BRF1	0.95
BRWD1	1.05
BSND	0.92
BTBD16	0.95
C11orf16	1.08
C11orf86	1.12
C15orf48	0.94
C1QTNF1	1.05
C22orf42	1.08
C2CD5	0.95
C3AR1	1.05
C4orf47	1.05
C4orf54	0.95
C5orf46	1.05
C6orf136	0.94
C6orf47	1.06
C8B	1.06
C9orf40	1.05
CA8	1.06
CAB39L	0.96
CACNA1A	1.05
CACNA2D4	1.05
CACNB1	1.05
CACNG1	0.92
CACNG8	0.95
CAGE1	0.94
CALD1	0.95
CAMK2A	1.06
CAMK2B	1.05
CAMK2N2	1.06
CAP2	1.06
CARD18	0.93
CARF	0.94
CAVIN1	1.06
CBLL1	0.95
CBX7	1.06
CCDC113	1.06
CCDC134	0.95
CCDC159	1.06
CCDC18	0.95
CCDC200	1.08
CCDC39	1.06
CCDC61	1.06
CCN2	0.96
CCNB1IP1	1.06
CCSAP	1.05
CD14	1.06
CD300LB	0.95
CD44	0.95
CD46	0.95
CD70	1.06
CD93	1.05
CDC42EP3	1.05
CDH15	1.05
CDH17	1.07
CDH2	1.06
CDK12	0.94
CDK13	1.06
CDK17	1.05
CDNF	0.95
CDON	0.94
CEACAM16	0.92
CEL	0.96
CENPBD1	1.05
CENPS.CORT	1.05
CEP57L1	0.94
CEP95	0.94
CERT1	1.06
CFAP43	0.95
CFAP70	1.06
CFAP74	1.05
CFL1	1.05
CFL2	1.06
CGA	1.09
CHMP1B	0.95
CHMP4A	1.06
CHRM2	1.06
CHRM3	1.06
CHST13	1.06
CHSY3	1.06
CIRBP	1.05
CIT	0.94
CLASP2	0.96
CLDN10	1.06
CLDN11	1.05
CLDN2	1.06
CLDN5	0.95
CLEC18B	1.05
CLEC18C	1.06
CLIP4	0.94
CLTC	1.06
CMTM6	1.06
CNGB1	1.07
CNMD	1.07
CNOT8	0.94
CNP	1.05
CNR1	1.07
CNTNAP2	0.95
CNTNAP3	0.94
COASY	1.06
COG6	0.95
COL10A1	1.05
COL2A1	1.05
COL8A1	1.05
COL8A2	1.06
COL9A1	1.06
COLEC12	1.05
COMTD1	1.06
COQ5	1.06
COQ8B	1.06
CPED1	0.95
CPT1A	0.95
CRAT	1.05
CROCC	0.94
CRYAA2	1.08
CSNK1G2	1.05
CSNK2A2	1.06
CST6	0.94
CTCF	1.06
CTSC	0.94
CTSL	1.05
CTSO	1.05
CWH43	0.95
CXCL16	1.05
CXCL5	1.06
CXCL6	1.06
CXCR6	0.94
CYFIP1	0.95
CYP1A2	0.93
CYP2C18	0.94
CYP3A4	0.95
CYP4F11	1.05
D2HGDH	1.06
DAB2	1.05
DAGLB	0.94
DAPK3	0.96
DAZ4	0.94
DBI	0.94
DBN1	1.05
DCDC2C	1.06
DCPS	1.06
DDRGK1	1.06
DEFB134	1.06
DHCR24	1.06
DHCR7	1.06
DHX15	1.06
DHX30	1.06
DIPK1B	1.05
DIS3L	0.94
DISP3	0.95
DLG3	1.06
DNAAF2	0.94
DNAH11	1.05
DPM1	1.06
DRAXIN	1.05
DRGX	0.94
DROSHA	0.95
DRP2	0.95
DST	1.06
DUOX1	1.05
DVL1	1.05
DYNC1LI1	0.95
DYNC2H1	1.05
ECPAS	1.07
ECRG4	0.95
EDA	1.05
EDARADD	0.95
EDDM3A	1.1
EDEM1	0.95
EDEM3	0.95
EEF1A1	1.06
EEF2K	1.05
EEFSEC	0.94
EFEMP2	0.95
EFHB	0.95
EFHD2	0.95
EGFL7	0.94
EHBP1	1.05
EIF2B2	0.94
EIF4E	0.95
ELAC1	1.06
ELAVL4	1.05
ELF1	0.95
EMD	1.06
ENO3	0.94
EPB41L4B	1.06
EPHA3	1.06
EPHB4	1.05
ERI1	0.95
ERICH2	0.96
ERO1B	0.94
ERVK3.1	0.94
ERVW.1	1.06
EVI2A	1.06
EXO5	1.06
EXOC2	0.95
EXTL3	1.05
F8	0.95
FAH	1.06
FAM122C	0.95
FAM124B	0.95
FAM126B	1.05
FAM135B	1.06
FAM13B	1.06
FAM151B	0.95
FAM156B	1.05
FAM160B2	0.95
FAM163B	1.05
FAM167B	1.06
FAM170A	1.07
FAM180A	1.05
FAM183A	1.05
FAM219A	1.06
FAM25C	1.1
FAM43A	1.07
FAM72C	0.95
FAM98B	1.06
FAM9B	1.06
FARP2	1.06
FARSA	1.06
FAS	0.94
FASN	1.06
FATE1	0.94
FBXL15	0.96
FBXL8	0.94
FBXO10	1.06
FBXO2	1.05
FBXO3	1.06
FBXO33	1.05
FBXW12	0.95
FGF11	1.05
FGF23	1.06
FHIT	1.06
FHL2	0.95
FKBP6	1.05
FKBP9	1.05
FKBPL	1.05
FLAD1	1.06
FLOT1	1.05
FMOD	1.05
FOLR1	1.05
FOXJ2	0.95
FRG1	0.95
FRYL	0.95
FSIP2	0.95
FUOM	0.94
FUT10	1.05
FUT9	1.08
GABPB2	0.95
GABRB3	0.94
GABRD	1.05
GALNT3	1.05
GALNT5	1.06
GALNT9	1.05
GALNTL6	1.05
GAPDHS	1.05
GATA2	0.95
GATB	1.05
GATM	0.95
GDA	1.05
GDF10	0.94
GDF6	1.06
GDF7	0.95
GDI1	0.95
GFPT1	0.95
GGCX	1.06
GGTLC2	0.9
GHITM	1.06
GIMAP2	0.95
GIT2	0.95
GLA	0.94
GLRA4	1.07
GNAT2	1.07
GNG4	1.05
GNL1	1.06
GNPAT	0.95
GNPTAB	0.95
GNRH1	0.95
GOLGA6C	1.06
GOLGA6L6	0.91
GOLGA8T	0.95
GOLT1A	0.95
GPATCH2	0.95
GPD2	0.95
GPKOW	0.94
GPR42	1.05
GPR50	0.92
GPRC5C	1.05
GPRC6A	1.08
GRAMD4	1.06
GRIK5	1.07
GRIN3B	1.05
GRM3	1.07
GRPEL1	1.05
GRSF1	1.07
GSG1L2	0.78
GSTA1	1.05
GSTA3	1.05
GTF2H2	1.06
GTF2H2C	1.06
GTSE1	1.05
H2AB2	0.94
H2AC4	0.95
H2AC7	0.94
H2BC6	0.94
H3C6	1.05
HADH	0.95
HADHB	0.94
HAO2	0.94
HARBI1	0.94
HBM	1.06
HBP1	0.94
HDAC5	1.05
HECTD4	0.94
HEMK1	1.06
HENMT1	1.06
HES2	1.06
HIBADH	1.06
HIF1AN	1.05
HIF3A	1.07
HIGD1A	1.07
HIP1R	1.06
HIRIP3	1.06
HMGA1	1.07
HMGB3	1.06
HMGCS2	1.06
HNRNPH2	0.95
HPSE	0.95
HRK	1.05
HSBP1L1	0.94
HSD11B2	0.96
HSD17B12	1.05
HSPA2	0.94
HSPB1	1.06
HSPB6	1.06
HTR1D	0.95
HTR1F	0.94
HYI	0.95
HYLS1	1.05
IDNK	0.94
IFI6	0.95
IFT140	0.95
IFT172	0.95
IFT88	1.06
IKBKG	1.05
IKZF4	1.05
IKZF5	0.94
IL13RA1	1.06
IL17C	1.06
INAFM1	1.07
ING3	1.05
INSL4	0.92
INSYN1	0.96
INTS2	1.05
INTS5	0.94
IP6K2	1.05
IQCB1	0.94
IQCK	0.95
IQGAP3	1.06
IQSEC2	0.95
IQSEC3	0.94
ISLR	1.06
ISLR2	0.95
ISM2	1.05
ITFG1	0.94
ITGA5	0.94
ITPKB	1.05
ITPRIPL1	1.07
JAG2	1.06
JARID2	0.95
KASH5	1.06
KAT14	1.05
KBTBD7	0.94
KCNC1	0.94
KCNE1	0.95
KCNH7	1.06
KCNJ15	0.95
KCNK9	1.06
KCNN1	0.95
KDM1A	1.07
KIAA1755	0.94
KIAA1958	0.94
KIF1C	0.94
KIF5B	1.06
KIN	1.05
KIRREL2	1.06
KLF14	0.96
KLF4	0.94
KLHL17	1.06
KLHL40	0.94
KLK10	1.05
KLK4	1.05
KNSTRN	1.06
KNTC1	0.95
KRBOX4	0.95
KRT16	1.05
KRT2	0.94
KRT24	0.91
KRT25	1.09
KRT34	1.06
KRT85	0.91
KRTAP5.6	1.11
LAYN	0.95
LBH	0.95
LDLRAD4	0.95
LEAP2	0.95
LEKR1	1.05
LHFPL1	1.05
LHFPL4	1.05
LIFR	1.06
LINC00672	1.06
LIPH	1.05
LIPN	0.95
LLCFC1	0.93
LLPH	1.05
LMTK2	1.06
LPAR3	1.05
LRCOL1	1.06
LRP8	0.96
LRRC2	0.95
LRRC36	0.94
LRRC38	1.08
LRRC42	0.95
LRRC47	1.06
LRRN1	1.06
LSM12	1.07
LSMEM2	1.05
LY6G5C	0.95
LY6G6C	1.06
LY96	1.06
LYPD2	0.93
LYPD6	1.06
MAGEB17	0.94
MAGI2	1.05
MAP3K7	1.06
MAP4K4	1.06
MARCHF1	0.95
MARCHF6	0.95
MARK3	0.95
MARVELD2	0.95
MASTL	0.95
MB	0.94
MBLAC1	1.07
MCEE	0.94
MCL1	1.06
MCMBP	1.06
MDH2	1.06
MECR	1.05
MED22	1.06
MED26	1.05
MEF2A	1.05
MEGF8	1.06
MELTF	0.94
MEOX2	0.95
METTL17	1.05
METTL3	0.94
METTL4	1.05
MFSD13A	1.07
MFSD14A	0.95
MFSD14B	0.94
MFSD2A	1.06
MGAT3	0.95
MIB2	1.05
MID1	1.05
MILR1	1.06
MINAR1	1.05
MKLN1	0.95
MKRN1	0.95
MLIP	1.06
MLX	1.07
MLXIPL	1.06
MMP19	1.06
MNT	1.05
MPIG6B	0.95
MRC2	1.05
MRNIP	1.05
MS4A18	0.9
MSANTD3	1.06
MSRA	1.06
MSRB1	1.05
MT.CO3	1.05
MT.ND4L	1.05
MT.ND5	1.06
MT1H	1.06
MT1X	0.94
MTA1	0.94
MTBP	1.06
MTFMT	0.94
MTHFD2	1.05
MTREX	0.96
MTURN	1.05
MUC7	1.06
MYEOV	0.95
MYH8	0.95
MYNN	0.95
MYOC	1.05
MYOD1	0.93
MYZAP	0.94
N4BP3	0.95
NAA80	1.06
NAMPT	0.95
NAT1	0.95
NAV2	0.94
NAV3	0.95
NCK1	1.06
NCOA6	0.95
NCOR1	0.94
NDOR1	1.07
NDUFA10	0.95
NDUFS7	1.05
NDUFV3	0.95
NECTIN3	0.94
NECTIN4	0.94
NET1	0.95
NFAT5	0.94
NFKBIZ	0.95
NGDN	0.94
NGEF	0.94
NHLRC2	0.95
NKX2.4	0.95
NKX3.1	1.06
NME3	1.05
NMNAT3	1.05
NOL10	1.07
NOMO1	0.95
NOXRED1	0.94
NPFFR1	1.06
NPHP3	0.95
NPY	1.07
NPY4R	1.06
NR0B2	0.92
NR4A2	1.06
NRBF2	1.06
NT5DC1	0.95
